VILLAGE_ID	COUNTRY_ID	VILLAGE_NAME	VILLAGE_NO	VILLAGE_URL	VILLAGE_START_DATETIME	VILLAGE_END_DATETIME	WIN_CAMP_NAME
1	2	G1760 峠の村	1760	http://www.wolfg.x0.com/index.rb?vid=1760	2017-06-24 00:15:01.000	2017-06-30 00:15:01.000	人狼陣営
2	2	G1761 血塗られた村	1761	http://www.wolfg.x0.com/index.rb?vid=1761	2017-06-24 22:15:02.000	2017-06-30 22:15:02.000	村人陣営
3	5	250 三千世界の狼を殺し、主と朝寝がしてみたい	250	http://marchocias.xsrv.jp/sow.cgi?vid=250#newsay	2018-12-04 00:00:00.000	2018-12-12 06:01:03.000	村人陣営
4	5	251 【誰歓】12月の村【12人辻入120pt12時更新】	251	http://marchocias.xsrv.jp/sow.cgi?vid=251#newsay	2018-12-07 12:00:00.000	2018-12-11 12:00:35.000	村人陣営
5	5	252 初心者による人狼ふくしゅう村	252	http://marchocias.xsrv.jp/sow.cgi?vid=252#newsay	2018-12-04 22:30:00.000	2018-12-06 22:21:07.000	村人陣営
6	2	G1762 僻地の村	1762	http://www.wolfg.x0.com/index.rb?vid=1762	2017-06-27 01:15:01.000	2017-07-03 01:15:01.000	村人陣営
7	5	253 【誰でも歓迎】第三次百点戦争村	253	http://marchocias.xsrv.jp/sow.cgi?vid=253#newsay	2018-12-25 05:00:00.000	2018-12-27 05:00:00.000	人狼陣営
8	5	254 ほぢょりん村7	254	http://marchocias.xsrv.jp/sow.cgi?vid=254#newsay	2018-12-14 00:00:00.000	2018-12-21 07:00:00.000	人狼陣営
9	2	G1763 安らぎの村	1763	http://www.wolfg.x0.com/index.rb?vid=1763	2017-06-29 23:15:01.000	2017-07-04 23:15:01.000	村人陣営
10	5	255 【身内】人狼サークルCOZ	255	http://marchocias.xsrv.jp/sow.cgi?vid=255#newsay	2018-12-13 23:00:00.000	2018-12-18 07:00:00.000	人狼陣営
11	2	G1764 最後の村	1764	http://www.wolfg.x0.com/index.rb?vid=1764	2017-07-01 21:45:01.000	2017-07-05 21:45:01.000	村人陣営
