VILLAGE_PLAYER_STATS_ID	COUNTRY_PLAYER_ID	VILLAGE_ID	CHARACTER_NAME	SKILL_NAME	WINLOSE_CODE	LIFE
1	1	1	村娘 パメラ	村人	LOSE	7d処刑死
2	2	1	旅人 ニコラス	村人	LOSE	4d突然死
3	3	1	神父 ジムゾン 	人狼	WIN	生存
4	4	1	少女 リーザ 	霊能者	LOSE	5d襲撃死
5	5	1	楽天家 ゲルト 	村人	LOSE	2d襲撃死
6	6	1	司書 クララ	狩人	LOSE	4d襲撃死
7	7	1	シスター フリーデル	村人	LOSE	6d襲撃死
8	8	1	ならず者 ディーター	占い師	LOSE	3d襲撃死
9	9	1	木こり トーマス	村人	LOSE	3d処刑死
10	10	1	負傷兵 シモン 	村人	LOSE	生存
11	11	1	村長 ヴァルター 	人狼	WIN	5d処刑死
12	12	1	少年 ペーター	村人	LOSE	6d処刑死
13	13	1	行商人 アルビン	村人	LOSE	7d襲撃死
14	14	1	仕立て屋 エルナ	狂人	WIN	4d処刑死
15	15	1	羊飼い カタリナ 	人狼	WIN	生存
16	5	2	楽天家 ゲルト 	村人	WIN	2d襲撃死
17	16	3	童子 白雪	見物人		
18	17	2	老人 モーリッツ	人狼	LOSE	3d処刑死
19	19	2	村娘 パメラ 	村人	WIN	生存
20	18	3	双子 芽子	狂人	LOSE	3d処刑死
21	20	3	噂好き はなこ	村人	WIN	2d襲撃死
22	21	2	司書 クララ	村人	WIN	6d襲撃死
23	22	3	浮浪者 落蝉	人狼	LOSE	5d処刑死
24	23	2	シスター フリーデル 	村人	WIN	生存
25	24	3	女学生 夢	霊能者	WIN	8d襲撃死
26	25	2	旅人 ニコラス 	狂人	LOSE	5d処刑死
27	26	3	取引屋 エリシュカ	占い師	WIN	4d襲撃死
28	27	2	農夫 ヤコブ 	霊能者	WIN	5d襲撃死
29	28	3	堂擦連 壇	村人	WIN	生存
30	29	2	負傷兵 シモン	村人	WIN	6d処刑死
31	30	3	陸軍 神楽	村人	WIN	4d処刑死
32	31	2	少年 ペーター	人狼	LOSE	7d処刑死
33	32	3	学生 檜扇	人狼	LOSE	9d処刑死
34	33	2	少女 リーザ	村人	WIN	4d処刑死
35	34	3	女給 初名	村人	WIN	6d処刑死
36	35	2	羊飼い カタリナ	狩人	WIN	3d襲撃死
37	36	3	怪談噺 十返	村人	WIN	6d襲撃死
38	37	2	青年 ヨアヒム	占い師	WIN	4d襲撃死
39	38	3	看護婦 清水	狩人	WIN	7d襲撃死
40	39	3	古書店 文目	村人	WIN	5d襲撃死
41	40	3	学生 茅	人狼	LOSE	7d処刑死
42	41	3	番傘 さみだれ	見物人		
43	42	3	神父 夕陰	村人	WIN	8d処刑死
44	43	3	人待ち カザミ	村人	WIN	生存
45	44	3	巫 琴	聖痕者	WIN	生存
46	45	3	病人 香	見物人		
47	46	4	【錬】 錬金術師 ロザベラ	村人	WIN	3d襲撃死
48	47	4	陰陽師 シロタエ	見物人		
49	48	4	【拾】 星拾い ネーロ	狩人	WIN	生存
50	49	4	【尼】 シスター マリア	村人	WIN	生存
51	50	4	【監】 監視者 ニルレム	村人	WIN	生存
52	20	4	夢詠み メリッサ	村人	WIN	2d襲撃死
53	51	4	【星】 星待ち ライラ	人狼	LOSE	3d処刑死
54	52	4	【夜】 孤城の主 ヨルダ	人狼	LOSE	5d処刑死
55	53	4	【薬】 薬師 ハロルド	辻占狂人	LOSE	生存
56	54	4	【猫】 笑い猫 リフル	占い師	WIN	生存
57	55	4	研究者 ヘクター	見物人		
58	56	4	【羊】 子羊 コレット	霊能者	WIN	4d処刑死
59	57	4	【走】 走る ハイズラーン	村人	WIN	生存
60	58	4	【射】 射手 アルフィリオン	村人	WIN	生存
61	59	5	【忍】 忍者 カザシ	占い師	WIN	生存
62	60	5	【黒】 黒髪の女主人 ハイズラーン	村人	WIN	生存
63	20	5	夢詠み メリッサ	村人	WIN	2d襲撃死
64	61	5	【頭】 頭領 ロレンツォ	狂人	LOSE	生存
65	62	5	【盛】 墓下盛り上げ隊 オーリ	見物人		
66	63	5	【邪】 邪眼 サリエーラ	人狼	LOSE	3d処刑死
67	64	5	【銀】 銀弾 グウィン	村人	WIN	生存
68	65	6	村娘 パメラ 	霊能者	WIN	生存
69	66	6	旅人 ニコラス	人狼	LOSE	6d処刑死
70	67	6	神父 ジムゾン 	狩人	WIN	生存
71	68	6	少女 リーザ 	村人	WIN	生存
72	69	6	青年 ヨアヒム 	人狼	LOSE	5d処刑死
73	5	6	楽天家 ゲルト 	村人	WIN	2d襲撃死
74	70	6	老人 モーリッツ 	村人	WIN	生存
75	71	6	司書 クララ 	占い師	WIN	生存
76	72	6	シスター フリーデル 	村人	WIN	生存
77	73	6	農夫 ヤコブ	村人	WIN	3d処刑死
78	74	6	木こり トーマス 	村人	WIN	生存
79	75	6	負傷兵 シモン	狂人	LOSE	4d処刑死
80	76	6	少年 ペーター	人狼	LOSE	7d処刑死
81	77	6	行商人 アルビン 	村人	WIN	生存
